cno_dose,time,rlu,mouse_id
1,0,67899,0
1,0,56122,1
1,0,50292,2
1,0,42177,3
1,0,44248,4
1,0,47104,5
1,0,52745,6
1,24,427812,0
1,24,471991,1
1,24,219519,2
1,24,271025,3
1,24,227668,4
1,24,309410,5
1,24,360937,6
1,48,1365560,0
1,48,1135418,1
1,48,614208,2
1,48,779026,3
1,48,532905,4
1,48,678199,5
1,48,900265,6
2.5,0,40147,0
2.5,0,30171,1
2.5,0,51862,2
2.5,0,46407,3
2.5,0,43372,4
2.5,0,36249,5
2.5,0,47148,6
2.5,24,370247,0
2.5,24,247199,1
2.5,24,351222,2
2.5,24,382660,3
2.5,24,324453,4
2.5,24,268301,5
2.5,24,240489,6
2.5,48,920701,0
2.5,48,665463,1
2.5,48,1169262,2
2.5,48,770693,3
2.5,48,793015,4
2.5,48,682742,5
2.5,48,708094,6
5,0,6462.666667,0
5,0,5582.9,1
5,0,9827.966667,2
5,0,9022.6,3
5,0,2249.066667,4
5,0,11123,5
5,24,38029,0
5,24,56670,1
5,24,51640,2
5,24,23053,3
5,24,11602,4
5,24,64241,5
5,48,94224,0
5,48,128976,1
5,48,112956,2
5,48,63830,3
5,48,24474,4
5,48,127715,5
