time,rlu,mouse_id,tev
0,61.57742,0,-
0,10796.06,1,-
0,35934.33,2,-
0,5555.81,3,-
0,6195.619,4,-
0,16534.98,5,-
0,7020.042,6,-
0,4697.51,7,-
0,7332.316,8,-
48,53.48065,0,-
48,46003.19,1,-
48,89167.07,2,-
48,33180.52,3,-
48,26976.14,4,-
48,82115.36,5,-
48,25207.24,6,-
48,27785.99,7,-
48,48056.09,8,-
48.5,52.73871,0,-
48.5,50639.7,1,-
48.5,91762.07,2,-
48.5,36102.75,3,-
48.5,25246.3,4,-
48.5,78356.46,5,-
48.5,22241.78,6,-
48.5,23923.26,7,-
48.5,37686.23,8,-
96,45.19032,0,-
96,99420.25,1,-
96,159325.4,2,-
96,46536.55,3,-
96,54410.11,4,-
96,184465,5,-
96,62279.56,6,-
96,42458.91,7,-
96,80483.36,8,-
96.5,213.9323,0,-
96.5,109626.9,1,-
96.5,154139.29,2,-
96.5,48800.1,3,-
96.5,53533.98,4,-
96.5,191615.4,5,-
96.5,64692.33,6,-
96.5,32427.07,7,-
96.5,53081.23,8,-
0,5031.833,0,+
0,2936.333,1,+
0,5282.933,2,+
0,3250.1,3,+
0,25323,4,+
0,9591.633,5,+
0,6907.467,6,+
0,6726.733,7,+
48,26987.1,0,+
48,21890.77,1,+
48,32348.17,2,+
48,22099.5,3,+
48,90337.47,4,+
48,44689.13,5,+
48,39281.33,6,+
48,38410.9,7,+
48.5,3234,0,+
48.5,3614.133,1,+
48.5,4101.8,2,+
48.5,3432.233,3,+
48.5,10394.6,4,+
48.5,6213.367,5,+
48.5,3462.3,6,+
48.5,4256.567,7,+
96,33224.33,0,+
96,30840.63,1,+
96,44050.83,2,+
96,31760.9,3,+
96,79925.33,4,+
96,70052.27,5,+
96,44946,6,+
96,54563.3,7,+
96.5,5486.5,0,+
96.5,5774.6,1,+
96.5,6257.833,2,+
96.5,3992.2,3,+
96.5,13519.93,4,+
96.5,9039.8,5,+
96.5,5110.367,6,+
96.5,5800.433,7,+
