time,rlu,mouse_id
0,88.50,0
0,71.23333,1
0,21.70,2
0,35.50,3
0,69.86667,4
0,108.33330,5
168,2964122.0,0
168,9174908.0,1
168,2580216.0,2
168,3220387.0,3
168,923935.0,4
168,867893.0,5
168.5,177080.10,0
168.5,787231.60,1
168.5,14599.13,2
168.5,247201.20,3
168.5,365516.10,4
168.5,448571.70,5
336,2050017.00,0
336,3577088.0,1
336,1997618.0,2
336,3550315.00,3
336,1706796.0,4
336,4059348.0,5
504,1495818.0,0
504,7413074.0,1
504,1506940.0,2
504,3723983.0,3
504,1672568.0,4
504,2174991.0,5
504.5,169881.6,0
504.5,415662.7,1
504.5,22.43333,2
504.5,393419.7,3
504.5,192724.5,4
504.5,268630.2,5
